year,Загалом,Населення,Промисловість,Сфера послуг,Сільське господарство,Транспорт,by_vde,scenario
2012,65241.0,22328.0,24468.0,4890.0,2155.0,11400.0,dirt,Базовий
2012,65240.0,22328.0,24468.0,4889.0,2155.0,11400.0,dirt,Революційний
2012,1750.0,1139.0,376.0,147.0,40.0,48.0,vde,Базовий
2012,1751.3,1139.0,376.0,148.0,40.3,48.0,vde,Революційний
2015,45665.0,15276.0,16080.0,3686.0,1940.0,8683.0,dirt,Базовий
2015,46202.0,15276.0,16080.265,3686.0,1924.0,8683.0,dirt,Революційний
2015,1861.0,1279.0,328.0,152.0,36.0,66.0,vde,Базовий
2015,1861.0,1279.0,328.0,152.0,36.0,66.0,vde,Революційний
2020,55350.0,19673.0,17650.0,5259.0,2217.0,10551.0,dirt,Базовий
2020,49923.0,17228.0,16650.0,4396.0,1950.0,9699.0,dirt,Революційний
2020,2472.0,717.0,561.0,728.0,53.0,413.0,vde,Базовий
2020,4826.0,1341.0,1384.0,840.0,191.0,1070.0,vde,Революційний
2025,61018.0,20406.0,21059.0,5701.0,2451.0,11401.0,dirt,Базовий
2025,44383.0,14795.0,15824.0,3824.0,1755.0,8185.0,dirt,Революційний
2025,2872.0,663.0,737.0,839.0,59.0,574.0,vde,Базовий
2025,10548.0,2361.0,3592.0,1435.0,590.0,2570.0,vde,Революційний
2030,65597.0,20902.0,23680.0,6095.0,2660.0,12260.0,dirt,Базовий
2030,36858.0,11889.0,13901.0,3170.0,1525.0,6373.0,dirt,Революційний
2030,2902.0,579.0,858.0,822.0,64.0,579.0,vde,Базовий
2030,16576.0,3759.0,5644.0,2245.0,1035.0,3893.0,vde,Революційний
2035,70869.0,21652.0,26742.0,6427.0,2863.0,13185.0,dirt,Базовий
2035,31799.0,10037.0,12602.0,2593.0,1268.0,5299.0,dirt,Революційний
2035,3199.0,479.0,943.0,1003.0,66.0,708.0,vde,Базовий
2035,21949.0,5499.0,7474.0,2843.0,1514.0,4619.0,vde,Революційний
2040,75047.0,22442.0,28910.0,6697.0,3022.0,13976.0,dirt,Базовий
2040,25572.0,7625.0,10432.0,2004.0,939.0,4572.0,dirt,Революційний
2040,3495.0,375.0,973.0,1065.0,67.0,1015.0,vde,Базовий
2040,28178.0,7671.0,9774.0,3428.0,2010.0,5295.0,vde,Революційний
2045,78298.0,23223.0,30527.0,6937.0,3147.0,14464.0,dirt,Базовий
2045,18476.0,5031.0,7746.0,1615.0,609.0,3475.0,dirt,Революційний
2045,4020.0,346.0,1006.0,1118.0,68.0,1482.0,vde,Базовий
2045,34050.0,10047.0,11974.0,4012.0,2460.0,5557.0,vde,Революційний
2050,80543.0,23699.0,31713.0,7129.0,3252.0,14750.0,dirt,Базовий
2050,4608.1,1237.0,2309.0,688.0,117.0,257.1,dirt,Революційний
2050,4592.0,366.0,1043.0,1154.0,70.0,1959.0,vde,Базовий
2050,41084.0,9182.0,16516.0,5194.0,3059.0,7133.0,vde,Революційний
