source,year,Базовий,Революційний
Імпорт,2015,46899,46899.0
Біопаливо та відходи,2015,1465,1465.0
Всього,2015,89519,89519.0
Вугілля,2015,27344,27344.0
Вітер,2015,94,94.0
Газ,2015,26055,26055.0
Гідро,2015,464,464.0
Нафта,2015,10551,10551.0
Ресурс для АЕС,2015,22985,22985.0
Сонце,2015,40,40.0
Імпорт,2020,45150,40603.0
Біопаливо та відходи,2020,2112,5857.0
Всього,2020,116238,104419.0
Вугілля,2020,50042,35081.0
Вітер,2020,258,772.0
Газ,2020,33944,33355.0
Гідро,2020,907,905.0
Нафта,2020,12252,11293.0
Ресурс для АЕС,2020,16951,16951.0
Сонце,2020,24,252.0
Імпорт,2025,40365,25883.0
Біопаливо та відходи,2025,2205,8226.0
Всього,2025,129515,98203.0
Вугілля,2025,60980,31508.0
Вітер,2025,370,3877.0
Газ,2025,36513,28954.0
Гідро,2025,1030,989.0
Нафта,2025,13126,9959.0
Ресурс для АЕС,2025,15544,13738.0
Сонце,2025,48,1099.0
Імпорт,2030,43767,18061.0
Біопаливо та відходи,2030,2221,10808.0
Всього,2030,139172,89376.0
Вугілля,2030,68974,27427.0
Вітер,2030,378,6836.0
Газ,2030,38546,24394.0
Гідро,2030,1117,1071.0
Нафта,2030,14229,8440.0
Ресурс для АЕС,2030,13989,8551.0
Сонце,2030,72,1946.0
Імпорт,2035,47573,14342.0
Біопаливо та відходи,2035,2520,13863.0
Всього,2035,149989,88801.0
Вугілля,2035,75464,28773.0
Вітер,2035,387,8124.0
Газ,2035,41036,21453.0
Гідро,2035,1123,1071.0
Нафта,2035,15340,6986.0
Ресурс для АЕС,2035,14429,5339.0
Сонце,2035,82,3268.0
Імпорт,2040,52237,13181.0
Біопаливо та відходи,2040,2828,17818.0
Всього,2040,157233,85154.0
Вугілля,2040,80993,26905.0
Вітер,2040,396,10058.0
Газ,2040,43660,19196.0
Гідро,2040,1130,1110.0
Нафта,2040,16078,5222.0
Ресурс для АЕС,2040,12537,21.0
Сонце,2040,42,4881.0
Імпорт,2045,54353,11030.0
Біопаливо та відходи,2045,3399,20832.0
Всього,2045,163762,83093.0
Вугілля,2045,86010,24156.0
Вітер,2045,396,11282.0
Газ,2045,43810,15564.0
Гідро,2045,1133,1111.0
Нафта,2045,16837,2849.0
Ресурс для АЕС,2045,12554,0.0
Сонце,2045,42,7332.0
Імпорт,2050,58739,1650.0
Біопаливо та відходи,2050,3944,29136.0
Всього,2050,168245,72782.0
Вугілля,2050,90027,3706.0
Вітер,2050,430,13996.0
Газ,2050,42761,12261.0
Гідро,2050,1140,1114.0
Нафта,2050,17753,1224.0
Ресурс для АЕС,2050,12554,0.0
Сонце,2050,42,11342.0
