year,source,is_vde,Всього,Промисловість,Домогосподарства,Транспорт,Сфера послуг,Сільське господарство
2012,Біопаливо та відходи,1,1029.0,46.0,936.0,0.0,27.0,20.0
2012,Вугілля,0,9212.0,8310.0,715.0,12.0,161.0,14.0
2012,Газ,0,21698.0,5272.0,13760.0,2050.0,463.0,153.0
2012,Електроенергія,0,11130.0,5102.0,3105.0,750.0,1861.0,312.0
2012,Електроенергія з ВДЕ,1,710.0,0.0,198.0,48.0,119.0,20.0
2012,Нафта та нафтопродукти,0,11347.0,1246.0,71.0,8588.0,78.0,1364.0
2012,Сонячна енергія,1,0.0,0.0,0.0,0.0,0.0,0.0
2012,Теплова енергія,0,11853.0,4538.0,4677.0,0.0,2326.0,312.0
2012,Теплова енергія з ВДЕ,1,12.3,5.0,5.0,0.0,2.0,0.3
2035,Біопаливо та відходи,1,5695.0,478.0,137.0,3521.0,440.0,1119.0
2035,Вугілля,0,5419.0,4910.0,395.0,12.0,100.0,2.0
2035,Газ,0,7615.0,1552.0,5450.0,214.0,295.0,104.0
2035,Електроенергія,0,6457.0,3374.0,1325.0,647.0,967.0,144.0
2035,Електроенергія з ВДЕ,1,10964.0,0.0,2251.0,1098.0,1642.0,245.0
2035,Нафта та нафтопродукти,0,5873.0,676.0,0.0,4426.0,0.0,771.0
2035,Сонячна енергія,1,657.0,0.0,642.0,0.0,14.0,0.0
2035,Теплова енергія,0,6435.0,2090.0,2867.0,0.0,1231.0,247.0
2035,Теплова енергія з ВДЕ,1,3904.0,1268.0,1739.0,0.0,747.0,150.0
2050,Біопаливо та відходи,1,7334.0,1235.0,0.0,3787.0,80.0,2232.0
2050,Вугілля,0,621.0,547.0,0.0,0.0,74.0,0.0
2050,Газ,0,460.1,276.0,0.0,0.1,184.0,0.0
2050,Електроенергія,0,1920.0,983.0,403.0,254.0,247.0,33.0
2050,Електроенергія з ВДЕ,1,25292.0,0.0,5309.0,3346.0,3252.0,439.0
2050,Нафта та нафтопродукти,0,3.0,0.0,0.0,3.0,0.0,0.0
2050,Сонячна енергія,1,4316.0,0.0,3304.0,3346.0,1012.0,0.0
2050,Теплова енергія,0,1604.0,503.0,834.0,0.0,183.0,84.0
2050,Теплова енергія з ВДЕ,1,7446.0,2335.0,3873.0,0.0,850.0,388.0
